Language,Gender,Speaker,Sentence,Vowel_type,Vowel,seg_Start,seg_End,V_duration,F0_Mean,F0_1,F0_2,F0_3,H1_Mean,H1_1,H1_2,H1_3,H2_Mean,H2_1,H2_2,H2_3,H1H2_Mean,H1H2_1,H1H2_2,H1H2_3,H2H4_Mean,H2H4_1,H2H4_2,H2H4_3,H1A1_Mean,H1A1_1,H1A1_2,H1A1_3,H1A2_Mean,H1A2_1,H1A2_2,H1A2_3,H1A3_Mean,H1A3_1,H1A3_2,H1A3_3,CPP_Mean,CPP_1,CPP_2,CPP_3,CQ_H_Mean,CQ_H_1,CQ_H_2,CQ_H_3,peak_Vel_Mean,peak_Vel_1,peak_Vel_2,peak_Vel_3
English,Female,AF_04,P1_E,Low,TRAP,807.913,1020.776,212.863,110.673,166.89,103.822,61.457,3.012,4.058,4.209,0.83,3.611,3.863,5.477,1.561,-0.599,0.195,-1.267,-0.731,-0.394,-4.703,0.266,3.248,4.383,6.778,3.283,3.066,13.223,12.67,13.303,13.728,12.549,12.965,11.251,13.425,16.984,14.452,17.684,18.822,0.832,0.815,0.827,0.864,110.801,112.367,110.734,108.713
English,Female,AF_04,P24_E,High,GOOSE,971.062,1171.83,200.768,89.14,89.869,88.404,89.043,-1.782,1.874,-1.4,-5.84,4.193,5.513,5.106,1.997,-5.975,-3.639,-6.506,-7.838,0.86,-1.469,1.155,2.897,5.022,5.675,6.36,3.111,21.096,20.255,22.236,20.786,10.132,10.203,10.459,9.695,17.272,17.617,17.076,17.135,0.69,0.796,0.624,0.656,104.608,119.773,97.7,97.484
English,Female,AF_04,P25_E,High,FLEECE,873.883,1038.367,164.484,182.975,192.875,173.524,182.03,-1.2,-3.421,0.927,-1.043,2.889,0.368,4.427,3.917,-4.089,-3.79,-3.499,-4.96,5.647,4.566,5.112,7.261,0.819,1.442,0.558,0.456,14.899,13.655,13.825,17.183,16.473,15.049,18.024,16.429,15.629,15.692,14.932,16.266,0.767,0.71,0.818,0.771,102.005,120.275,99.545,87.191
English,Female,AF_04,P2_E,High,KIT,815.009,951.676,136.667,90.117,89.424,89.066,91.775,-0.653,5.637,-1.313,-6.257,8.726,14.562,10.122,1.609,-9.379,-8.925,-11.435,-7.866,9.583,16.36,10.603,1.841,9.966,21.392,7.627,0.888,16.708,25.443,12.921,11.674,18.264,24.267,14.927,15.556,19.328,17.817,20.453,19.806,0.833,0.878,0.795,0.817,113.852,121.847,107.55,109.972
English,Female,AF_04,P5_E,High,KIT,875.41,1029.212,153.802,172.47,175.729,185.092,156.756,-1.699,2.862,-2.029,-5.924,-10.66,-7.662,-10.85,-13.492,8.961,10.524,8.821,7.568,1.945,5.975,0.657,-0.833,14.866,23.393,14.715,6.463,20.467,25.274,17.557,18.434,21.292,23.151,22.026,18.775,16.614,17.269,16.709,15.85,0.837,0.909,0.86,0.692,107.368,113.186,105.159,102.828
English,Female,AF_04,P6_E,Low,TRAP,948.435,1145.273,196.838,163.883,159.961,155.819,175.754,2.228,2.131,2.185,2.372,1.218,0.349,0.343,2.918,1.009,1.782,1.842,-0.546,2.855,1.634,1.45,5.426,1.975,3.509,2.023,0.397,13.233,11.54,13.546,14.622,2.654,0.548,4.564,2.903,15.724,17.417,14.868,14.895,0.82,0.809,0.833,0.816,88.044,88.433,91.04,83.652
English,Female,AF_04,P7_E,High,FLEECE,977.147,1165.821,188.674,177.974,175.853,172.562,185.399,0.654,0.175,1.873,-0.04,3.243,2.253,4.475,3.034,-2.59,-2.077,-2.601,-3.073,5.167,4.713,5.493,5.3,1.941,3.081,1.298,1.441,14.175,14.461,14.409,13.659,16.962,14.573,19.587,16.802,14.67,14.825,14.146,15.03,0.845,0.86,0.789,0.896,114.45,118.058,113.923,111.458
English,Female,AF_06,P11_E,High,KIT,828.093,971.102,143.009,70.348,73.561,74.592,63.059,-3.447,-4.383,0.944,-6.678,-0.007,-1.049,1.997,-0.855,-3.441,-3.334,-1.054,-5.823,-7.024,-7.154,-6.318,-7.544,6.042,2.305,9.139,6.852,-1.856,-6.164,4.332,-3.427,4.423,1.809,8.713,2.933,23.295,20.636,25.489,23.867,0.805,0.838,0.849,0.559,125.134,126.619,126.502,116.1
English,Female,AF_06,P14_E,High,KIT,928.538,1124.598,196.06,158.084,195.028,180.382,99.477,6.187,7.513,8.094,3.027,3.901,-0.028,1.412,10.158,2.286,7.541,6.681,-7.131,4.042,0.515,1.651,9.879,14.936,16.612,14.966,13.298,12.688,10.964,11.262,15.775,10.805,6.345,9.522,16.444,25.465,26.736,25.394,24.32,0.718,0.669,0.716,0.77,197.953,189.163,182.286,222.649
English,Female,AF_06,P1_E,Low,TRAP,813.324,1004.794,191.47,145.521,186.65,143.981,105.789,0.554,5.108,0.556,-4.031,2.941,-1.97,0.499,10.338,-2.387,7.078,0.057,-14.369,7.385,5.122,5.026,12.001,20.112,22.723,20.147,17.415,20.486,21.572,23.531,16.385,23.412,24.864,25.834,19.559,18.808,21.015,17.48,17.911,0.776,0.687,0.908,0.731,106.102,113.017,101.594,104.056
English,Female,AF_06,P24_E,High,GOOSE,1190.815,1460.686,269.871,97.876,93.226,97.578,102.792,-2.593,-4.162,-2.612,-1.013,11.34,13.606,11.297,9.12,-13.933,-17.769,-13.909,-10.133,10.863,13.271,10.539,8.794,2.925,-3.105,2.755,9.089,12.266,7.291,13.281,16.256,10.044,2.975,11.439,15.729,25.17,26.125,24.806,24.608,0.778,0.705,0.784,0.845,184.109,190.865,185.693,175.92
English,Female,AF_06,P25_E,High,FLEECE,1127.393,1388.038,260.645,134.765,189.308,116.9,98.176,0.801,2.581,0.792,-0.918,3.045,-2.635,4.668,7.117,-2.244,5.216,-3.876,-8.035,-0.274,2.77,3.62,-7.168,6.696,14.684,6.526,-1.046,4.207,4.844,4.551,3.191,10.201,8.559,10.431,11.586,18.859,18.802,20.139,17.646,0.806,0.757,0.799,0.854,212.417,212.683,218.751,205.855
English,Female,AF_06,P26_E,High,FLEECE,1140.909,1290.838,149.929,58.241,68.532,61.722,44.607,-3.192,-4.546,-1.645,-3.326,-4.425,-7.616,-3.469,-2.154,1.233,03.07,1.824,-1.172,-5.065,-7.659,-5.977,-1.606,0.717,-1.137,0.026,3.234,-8.738,-9.182,-11.251,-5.858,1.675,1.623,0.505,2.827,27.248,26.912,28.783,26.109,0.766,0.877,0.624,0,128.976,128.294,129.851,0
English,Female,AF_06,P2_E,High,KIT,832.349,969.286,136.937,220.378,197.638,218.488,246.091,0.309,4.223,2.745,-6.14,-7.603,-2.259,-4.805,-15.803,7.913,6.482,7.549,9.663,2.914,6.321,2.291,0.088,18.155,19.233,18.877,16.254,14.468,17.471,12.604,13.09,14.95,16.451,13.17,15.036,16.622,19.498,16.013,14.345,0.714,0.715,0.815,0.053,124.529,125.351,120.194,145.2
English,Female,AF_06,P5_E,High,KIT,944.338,1084.781,140.443,200.541,204.481,200.22,196.797,2.196,3.361,5.008,-1.703,-8.182,-6.025,-4.427,-13.926,10.378,9.386,9.435,12.223,0.127,3.677,1.675,-4.88,21.007,23.613,20.952,18.407,14.6,19.384,13.308,11.014,16.229,19.274,14.608,14.669,16.534,17.844,16.774,15.044,0.73,0.778,0.684,0,166.735,177.477,156.517,0
English,Female,AF_06,P6_E,Low,TRAP,1043.566,1329.584,286.018,158.504,191.438,185.594,99.633,5.294,7.284,7.717,0.969,5.034,1.863,2.772,10.355,0.26,5.421,4.945,-9.387,5.222,5.285,3.529,6.792,18.957,20.276,22.151,14.568,21.505,21.027,26.67,16.949,18.174,19.628,22.08,12.923,20.951,22.162,18.791,21.826,0.701,0.675,0.677,0.751,151.473,139.356,148.83,166.262
English,Female,AF_06,P7_E,High,FLEECE,1151.068,1289.464,138.396,102.44,98.559,101.465,107.328,-5.237,-5.052,-5.129,-5.544,5.619,6.842,6.531,3.515,-10.856,-11.893,-11.66,-9.059,4.567,4.102,5.761,3.882,-1.53,-3.747,-2.132,1.201,-9.793,-10.243,-10.426,-8.764,-0.303,-0.172,0.108,-0.843,19.485,20.794,18.265,19.379,0.726,0.774,0.763,0.626,124.594,126.115,123.15,124.505
English,Male,AM_01,P11_E,High,KIT,1123.525,1296.52,172.995,82.803,101.609,82.542,64.473,14.603,15.937,16.367,11.57,11.617,12.053,12.672,10.184,2.986,3.884,3.695,1.385,10.423,6.596,12.703,11.987,21.496,17.124,25.684,21.648,23.143,22.58,25.09,21.73,29.347,26.72,31.389,29.926,20.239,21.402,20.244,19.128,0.695,0.695,0,0,65.008,65.008,0,0
English,Male,AM_01,P14_E,High,KIT,1214.394,1409.013,194.619,62.883,76.46,63.221,48.965,10.613,13.873,13.479,4.559,15.317,16.389,17.661,11.972,-4.704,-2.516,-4.182,-7.413,7.869,10.497,9.055,4.047,13.905,14.661,16.034,11.076,21.792,20.993,26.74,17.759,27.054,24.312,29.233,27.683,21.987,22.628,21.468,21.898,0.911,0.911,0,0,60.762,60.762,0,0
English,Male,AM_01,P16_E,High,GOOSE,908.623,1176.188,267.565,87.977,84.91,87.963,91.016,7.137,12.315,6.571,2.498,3.568,9.632,4.24,-3.114,3.569,2.683,2.331,5.612,9.529,13.123,11.102,4.462,16.528,19.702,15.662,14.186,23.4,19.353,23.319,27.52,25.02,27.451,23.361,24.372,19.69,22.282,18.279,18.527,0.908,0.908,0,0,61.685,61.685,0,0
English,Male,AM_01,P19_E,High,GOOSE,855.358,1148.296,292.938,78.284,90.422,82.185,62.225,12.457,17.066,12.289,7.965,10.008,13.456,9.088,7.42,2.449,3.611,3.201,0.546,16.518,19.835,17.908,11.798,21.914,25.781,23.584,16.361,33.014,31.404,34.038,33.609,23.195,28.382,20.367,20.818,22.082,25.541,21.211,19.48,0.843,0.886,0.776,0,51.665,53.952,48.108,0
English,Male,AM_01,P21_E,High,FLEECE,1092.847,1392.704,299.857,67.546,93.95,68.827,39.869,5.631,8.812,7.583,0.516,7.791,6.191,9.737,7.48,-2.161,2.621,-2.154,-6.964,4.726,2.251,7.536,4.434,3.239,2.919,4.431,2.345,20.306,22.93,22.7,15.289,12.078,14.052,11.097,11.053,20.767,19.368,18.105,24.818,0.889,0.886,0.904,0,63.351,64.456,59.17,0
English,Male,AM_01,P22_E,High,FLEECE,1309.267,1581.446,272.179,84.063,99.988,87.963,64.058,8.451,10.283,9.507,5.552,8.512,6.259,9.312,10.002,-0.061,4.023,0.195,-4.449,4.48,2.363,4.205,6.92,2.494,4.67,0.545,2.239,19.524,17.613,20.37,20.621,9.689,6.636,7.395,15.037,21.141,22.099,21.448,19.836,0.852,0.897,0.892,0.499,64.274,70.345,60.868,56.4
English,Male,AM_01,P2_E,High,KIT,1005.84,1198.008,192.168,61.126,82.46,59.885,41.034,9.42,15.287,10.99,2.016,13.493,16.841,14.884,8.804,-4.072,-1.554,-3.894,-6.788,8.768,15.081,10.511,0.726,16.306,19.971,17.126,11.846,21.83,25.11,24.551,15.839,25.72,27.046,26.174,23.963,22.205,21.647,21.142,23.858,0.903,0.897,0.925,0,69.403,69.647,68.5,0
